,name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
224,Incubus - Pardon Me (Official Music Video)-PXzuDXZwZtI.mp3,152.02702702702703,446,0.5170091920148948,0.14688245952129364,2603.387215706976,2766.3000365556145,5234.541193855179,0.0570008177756133,159.07994696073632,-53.8996107844925,47.789675798948075,-11.845852413045215,22.959452004089066,-0.4647523234635119,6.836278487221128,6.7053342904309075,1.4357167549732452,6.7498849907759295,1.1334180440103654,Metal
225,Megadeth - Holy Wars...The Punishment Due-9d4ui9q7eDM.mp3,112.5,337,0.5664797478651371,0.04411214962601662,2393.4881339226167,2954.237666091179,4880.842709320929,0.04482393520198803,166.73723360781528,-42.26332570323877,49.59806932287383,6.144319561834687,18.00828511756869,-10.305459983817736,19.298992386394698,-6.18586022177493,2.0800893953121005,8.769348943720807,-3.4599061042605377,Metal
226,Escape the Fate - 'One For The Money'-xxIsmbVZuSI.mp3,90.66611842105264,266,0.4802810456552931,0.2867899537086487,3190.2986908274816,3436.151720655449,6596.792054545401,0.07254192088533604,131.44257082874134,-43.38467480890147,40.78003935635608,-8.024356763034929,24.749031462835102,-9.517115018041931,19.472980096173085,-6.7079827404094186,13.672615314639506,0.5787587704276008,8.149972739262235,Metal
227,Limp Bizkit - Break Stuff-ZpUYjpKg9KY.mp3,109.95678191489358,300,0.6156794505161576,0.1081124022603035,2216.3430444877763,2733.8836190037914,4605.049572364186,0.048508001576982485,155.75421359320998,-32.93960995356934,36.69186317739782,7.924437955188368,27.974884534279962,-5.065419805598216,13.112684896687528,4.148980071289872,8.1264719115737,4.9871551294964025,2.989717055504581,Metal
228,Rammstein - Sonne (Official Video)-StZcUAPRRac.mp3,74.89809782608695,224,0.5328493078304986,0.20229831337928766,3527.229057642937,3800.3723843595935,7626.142774646865,0.08535039092734133,130.62317617567894,-35.56785556841009,45.98900208667285,-16.663635182334733,32.116905308550486,-19.544062652886836,24.520095478314964,-12.588106405457065,14.415763417327756,-8.850943807581155,5.571601066174443,Metal
229,Tool - Stinkfist (Live DVD 2014)-NNPcTIW5qb4.mp3,87.890625,263,0.5242564173109082,0.17831534147262573,3406.8115371825274,3068.0030680016444,6436.9602171723145,0.08970620028072411,136.59140615689068,-74.15157678576394,55.554062177590865,-9.377889364338,25.75231775440651,-10.016813857078262,20.37167526762817,-2.1864583279428857,-0.904748362720318,9.270863884744216,-2.363699558106188,Metal
230,Three Days Grace - Get Out Alive (Audio)-hpbZMZm0kbE.mp3,117.1875,333,0.4742461011664417,0.207169771194458,2951.3272017967165,3229.0004230586896,6387.360378644228,0.0616768427611697,147.12902006828233,-36.97181273821892,45.633660181640366,-5.990234880101062,31.408971378872124,-8.794756066122709,13.099095325511,0.6207682465929105,6.6712257203324965,-0.6078913910674046,-3.946159190005954,Metal
231,OZZY OSBOURNE - 'Mr. Crowley' Live 1981-G3LvhdFEOqs.mp3,95.33898305084746,280,0.4208967406933993,0.11074122041463852,2185.543860341738,2376.5025599928244,4230.274317077507,0.05364259664242119,183.3625740693317,-61.58100318217034,33.80295702069179,-7.7964445705892444,4.502228910403437,4.965414977407047,-2.13579441763232,11.487411970827772,4.325097639059549,3.448938028148768,3.388379824989444,Metal
232,Motionless In White - Brand New Numb (Official Audio)-8f2ZyO1q6qw.mp3,129.19921875,387,0.5480405338240948,0.26132431626319885,3429.948072905769,3699.3955980160176,7184.102392049028,0.07603679771147769,127.32666874525762,-35.67245729317247,30.58735602508256,-17.828998641039163,27.82755987010376,-14.430840985661154,11.627633257968744,-4.340287998415399,16.188234455263245,-4.574865530835272,12.390047024277631,Metal
233,Ghost - Dance Macabre-7Gr63DiEUxw.mp3,126.04801829268291,379,0.5828761508839544,0.2479687035083771,2831.3060961682745,3469.182700889288,6134.74068184017,0.05072333273872871,129.80776918434543,-20.787610558506817,39.5183929191922,4.267490694217528,21.842523326384182,-1.7330135180331476,14.703846396711745,0.5773534582381639,11.623060095870906,0.08012386557338633,8.2633605087972,Metal
234,Volbeat - Leviathan-siIaaBIVbZE.mp3,90.72580645161291,269,0.4945940432199165,0.24940073490142825,2640.111529670671,3034.331418825801,5622.582087728135,0.0504482546867593,154.88047326420647,-49.24877543697913,52.834269788312795,-6.341796344341272,24.15296440778299,-4.680328812508038,11.771211194657498,4.809057002846441,3.193414492187953,6.655581877187908,4.987500960513829,Metal
235,Mötley Crüe - Wild Side (Official Music Video)-4Hihge6FFVw.mp3,114.84375,330,0.5586354931946175,0.0743570402264595,4116.080116908005,4040.762491514943,8996.13726825537,0.10464033475232197,121.37124506162435,-40.26281167754852,47.26332773406249,-31.05578787983764,25.42525876666521,-21.21879383625212,31.02741117276411,-10.768357339387453,20.187187041834253,-0.6712741332951132,5.487016018676103,Metal
236,Rage Against The Machine - Bulls On Parade-3L4YrGaR8E4.mp3,83.95522388059702,251,0.583569268909797,0.12725681066513062,3216.270835930173,3395.1123096921997,6805.307833609861,0.070027273846735,134.01026246669892,-44.43600139338349,56.85028308862027,-2.9445009997812335,31.835665102005528,-5.474996125395057,16.946688594583723,-2.157327330966845,-0.2709071928743537,-0.6508353232864386,1.368277659535347,Metal
237,Numb (Official Video) - Linkin Park-kXYiU_JCYtU.mp3,110.29411764705885,324,0.4173564175024013,0.17760424315929413,3054.9919258503473,3414.874413069963,6339.300726623607,0.06394939327669473,145.65100072236436,-43.12322598275079,42.57862927410646,-16.85367443649239,26.128570804159036,-14.022116093981486,14.237703447769515,-6.514016895893688,9.235403021946322,0.2002401352470852,5.8205932091899015,Metal
